Squad,TklW,Tkl%,Past,%,Blocks,Int,Clr,Err,Positive,Negative
Alavés,370,33.4,386,26.1,576,214,1085,8,1934.5,394
Amiens,318,33,371,27.3,467,273,861,9,1661.3,380
Angers,320,30.9,385,27.6,421,236,690,8,1405.5,393
Arsenal,373,33.9,394,26.8,614,244,978,14,1896.7,408
Aston Villa,388,31.3,421,27.3,725,254,983,29,2020.6,450
Atalanta,445,37.4,485,31.3,607,252,847,9,1774.7,494
Athletic Club,353,30.9,427,28.5,573,238,1130,8,2000.4,435
Atlético Madrid,431,38.3,421,30,659,221,990,6,1938.3,427
Augsburg,331,30.1,442,25.5,574,283,971,7,1883.6,449
Barcelona,368,35.9,296,30.7,493,239,638,9,1436.6,305
Bayern Munich,368,33.5,369,34.7,462,220,565,3,1315.2,372
Betis,331,32.3,335,26.5,562,208,941,5,1769.8,340
Bologna,399,33.4,460,28,654,257,952,15,1924.4,475
Bordeaux,347,34.1,378,29.4,418,227,705,5,1413.5,383
Bournemouth,349,31.6,398,26.2,703,288,1135,14,2183.8,412
Brescia,353,33.7,441,23.4,701,245,963,14,1966.1,455
Brest,356,32.6,341,28.7,452,246,759,10,1518.3,351
Brighton,409,33.2,430,30.1,631,299,934,16,1927.3,446
Burnley,340,33.3,408,25.5,712,252,1234,5,2256.8,413
Cagliari,409,32.6,453,27.9,656,255,921,10,1892.5,463
Celta Vigo,371,33.9,372,28.6,521,263,985,4,1831.5,376
Chelsea,449,34.7,409,30.9,576,268,930,9,1839.6,418
Crystal Palace,430,38.3,418,27.2,675,277,999,13,2016.5,431
Dijon,360,36.1,350,28.4,431,256,751,7,1502.5,357
Dortmund,401,40.1,330,32.3,519,286,604,11,1481.4,341
Düsseldorf,347,34.3,388,29.3,558,302,759,10,1682.6,398
Eibar,370,34.7,406,29.3,580,264,1046,7,1954,413
Eint Frankfurt,444,32.9,423,31.1,584,251,761,5,1660,428
Espanyol,402,34.6,448,28.1,551,251,1003,8,1867.7,456
Everton,423,33.3,491,27.3,588,279,1037,10,1964.6,501
Fiorentina,401,28.3,467,27.4,561,263,915,7,1794.7,474
Freiburg,309,27.8,366,26.4,564,255,1027,12,1900.2,378
Genoa,391,30.4,422,27.1,622,311,861,12,1851.5,434
Getafe,391,35,377,29.8,526,269,1145,4,2004.8,381
Granada,351,34.4,349,27.1,588,214,1005,4,1868.5,353
Hellas Verona,345,34,359,29.3,597,279,1035,9,1974.3,368
Hertha BSC,356,32.8,390,27.3,651,304,986,17,2001.1,407
Hoffenheim,353,38.5,360,29.5,595,263,860,4,1786,364
Inter,373,31.6,433,27.4,600,260,741,6,1660,439
Juventus,382,34.8,389,28.4,608,269,709,15,1649.2,404
Köln,421,36.3,373,28.8,593,272,947,4,1877.1,377
Lazio,404,31.5,475,28.6,582,244,765,8,1651.1,483
Lecce,385,30.9,471,25,625,266,894,12,1840.9,483
Leganés,389,36.7,382,27.7,543,249,1063,4,1919.4,386
Leicester City,478,36,503,31,601,309,1013,13,1990,516
Levante,319,34.1,358,26.3,539,264,1005,7,1868.4,365
Leverkusen,382,36.2,386,34.1,553,246,750,9,1619.3,395
Lille,324,36.7,360,30,388,196,661,4,1311.7,364
Liverpool,375,34.9,395,32.2,481,246,863,10,1657.1,405
Lyon,330,37.1,280,29.4,393,215,654,6,1328.5,286
M'Gladbach,400,34.5,410,29.6,604,269,712,11,1649.1,421
Mainz 05,386,35.1,371,27.3,625,296,959,13,1942.4,384
Mallorca,389,36.3,377,27.1,561,242,776,8,1642.4,385
Manchester City,365,35.7,410,31.7,444,227,655,19,1393.4,429
Manchester Utd,359,33.1,419,28.2,632,300,880,7,1873.3,426
Marseille,372,36.6,385,28.6,413,192,701,6,1371.2,391
Metz,385,38.5,320,26.7,470,252,802,5,1589.2,325
Milan,411,31.6,446,28.1,574,324,696,12,1653.7,458
Monaco,356,33.7,376,29.8,401,262,601,10,1327.5,386
Montpellier,294,34.8,384,28.2,383,216,722,2,1384,386
Nantes,371,41.6,357,27.9,364,224,784,3,1441.5,360
Napoli,377,36.2,381,28.2,536,192,566,9,1358.4,390
Newcastle Utd,393,36.2,397,25.4,638,293,1133,11,2125.6,408
Nice,302,35.7,355,26.5,417,253,545,7,1277.2,362
Nîmes,336,34,437,30.1,411,248,723,3,1446.1,440
Norwich City,434,32.6,523,27.4,713,270,1039,16,2082,539
Osasuna,389,37.8,371,30.3,611,255,1117,15,2051.1,386
Paderborn 07,409,37.3,499,28.5,676,262,888,9,1891.8,508
Paris S-G,316,34.8,363,30.9,366,185,363,9,979.7,372
Parma,405,32.9,497,26.5,683,264,971,10,1977.4,507
RB Leipzig,420,36.6,419,32.7,577,262,746,13,1654.3,432
Real Madrid,415,34.7,390,29.7,562,284,603,14,1513.4,404
Real Sociedad,362,37,377,29.6,528,226,971,6,1791.6,383
Reims,345,38.3,297,29.7,385,228,744,7,1425,304
Rennes,338,31.9,384,28.6,437,188,792,10,1477.5,394
Roma,341,32.5,364,28.8,531,235,771,19,1598.3,383
Saint-Étienne,378,37.2,334,30.4,407,276,678,8,1428.6,342
Sampdoria,411,32.6,450,26.1,622,288,902,11,1870.7,461
Sassuolo,394,37.7,367,29.7,619,248,678,12,1612.4,379
Schalke 04,430,35.8,445,30.9,611,306,841,10,1824.7,455
Sevilla,398,39.6,405,30.4,519,208,1003,9,1800,414
Sheffield Utd,392,32.9,431,27.7,618,260,1244,12,2182.6,443
Southampton,483,33.8,567,30.9,694,295,1276,20,2329.7,587
SPAL,356,33.2,395,25.9,579,250,893,13,1781.1,408
Strasbourg,337,39.1,280,29.9,348,245,633,8,1295,288
Torino,401,35.2,396,26.8,715,339,1059,13,2175,409
Tottenham,445,30.9,476,28.2,660,259,1074,11,2052.1,487
Toulouse,393,38.1,331,28,448,238,717,14,1469.1,345
Udinese,395,36.3,424,26.6,652,264,870,9,1848.9,433
Union Berlin,369,33.5,424,28.5,638,287,1093,3,2080,427
Valencia,339,31.7,393,25.7,546,221,956,10,1780.4,403
Valladolid,400,31.3,465,26.5,624,268,1014,13,1963.8,478
Villarreal,358,34.2,411,27.5,591,213,992,8,1857.7,419
Watford,429,30.7,536,27.2,624,311,1101,12,2093.9,548
Werder Bremen,397,35.9,406,28.7,580,279,969,10,1892.6,416
West Ham,470,30.1,533,27.8,633,291,929,11,1910.9,544
Wolfsburg,401,34.9,451,31.9,590,281,896,12,1833.8,463
